Investigator,,Time (s),Electrode,Amplitude (mV)
,,00376.226720,A2_24,0.02
,,00376.234240,A2_33,0.016
,,00376.241600,A2_22,0.014
,,00376.275040,A2_24,0.022
,,00376.275280,A2_22,0.015
,,00376.275680,A2_11,0.02
,,00376.292720,A2_66,0.022
,,00376.293680,A2_28,0.011
,,00376.293920,A2_21,0.029
,,00376.296400,A2_24,0.02
,,00376.306160,A2_33,0.012
,,00376.314240,A2_21,0.025
,,00376.320960,A2_33,0.019
,,00376.340480,A2_33,0.013
,,00376.344000,A2_33,0.015
,,00376.345120,A2_21,0.014
,,00376.348000,A2_66,0.02
,,00376.363280,A2_33,0.023
,,00376.365680,A2_24,0.018
,,00376.380640,A2_22,0.012
,,00376.381280,A2_33,0.024
,,00376.389440,A2_28,0.01
,,00376.401680,A2_33,0.012
,,00376.405440,A2_24,0.025
,,00376.410080,A2_24,0.021
,,00376.415120,A2_66,0.019
,,00376.432800,A2_32,0.015
,,00376.435120,A2_24,0.021
,,00376.455680,A2_33,0.014
,,00376.458800,A2_33,0.014
,,00376.467840,A2_66,0.022
,,00376.478240,A2_33,0.014
,,00376.482320,A2_33,0.013
,,00376.482960,A2_12,0.018
,,00376.511920,A2_21,0.021
,,00376.528080,A2_33,0.018
,,00376.534960,A2_11,0.018
,,00376.535200,A2_22,0.015
,,00376.549600,A2_66,0.014
,,00376.585600,A2_33,0.015
,,00376.611440,A2_33,0.012
,,00376.622800,A2_24,0.02
,,00376.659120,A2_33,0.017
,,00376.662160,A2_33,0.013
,,00376.685280,A2_33,0.012
,,00376.694720,A2_66,0.02
,,00376.747680,A2_33,0.022
,,00376.807520,A2_24,0.02
,,00376.910560,A2_24,0.021
,,00376.918720,A2_66,0.019
,,00376.923680,A2_33,0.014
,,00376.953120,A2_33,0.013
,,00376.968960,A2_33,0.011
,,00377.091200,A2_33,0.014
,,00377.338960,A2_33,0.018
,,00377.434160,A3_21,0.015
,,00377.497440,A3_21,0.013
,,00377.735760,A2_52,0.011
,,00377.916960,A3_21,0.014
,,00378.058320,A3_21,0.016
,,00378.287200,A3_31,0.016
,,00378.539440,A3_21,0.014
,,00378.699520,A2_21,0.021
,,00380.670160,A2_22,0.019
,,00380.688400,A2_21,0.022
,,00380.695120,A2_24,0.017
,,00380.704560,A2_24,0.015
,,00380.723680,A2_66,0.02
,,00380.732480,A2_24,0.013
,,00380.755680,A2_24,0.015
,,00380.757120,A2_46,0.017
,,00380.786480,A2_33,0.019
,,00380.790160,A2_24,0.022
,,00380.807040,A2_66,0.023
,,00380.810640,A2_33,0.017
,,00380.815040,A2_21,0.027
,,00380.827760,A2_33,0.012
,,00380.838000,A2_21,0.025
,,00380.848960,A2_21,0.015
,,00380.849040,A2_33,0.014
,,00380.854960,A2_66,0.022
,,00380.875840,A2_33,0.018
,,00380.887680,A2_33,0.022
,,00380.912880,A2_21,0.02
,,00380.913040,A2_66,0.021
,,00380.916160,A2_24,0.028
,,00380.918160,A2_33,0.018
,,00380.945120,A2_56,0.015
,,00380.962640,A2_24,0.019
,,00380.968000,A2_22,0.018
,,00380.972640,A2_21,0.016
,,00380.977520,A2_33,0.011
,,00380.981760,A2_66,0.02
,,00380.992000,A2_33,0.016
,,00381.005120,A2_46,0.017
,,00381.013200,A2_22,0.016
,,00381.018560,A2_66,0.02
,,00381.023200,A2_33,0.019
,,00381.052960,A2_66,0.016
,,00381.110320,A2_24,0.018
,,00381.156160,A2_33,0.019
,,00381.159680,A3_31,0.015
,,00381.186800,A2_33,0.013
,,00381.221760,A2_33,0.023
,,00381.269040,A2_33,0.013
,,00381.301360,A2_66,0.024
,,00381.380400,A2_24,0.018
,,00381.395920,A2_33,0.014
,,00381.405280,A2_33,0.014
,,00381.448560,A2_33,0.015
,,00381.461280,A2_33,0.013
,,00381.596800,A2_66,0.018
,,00381.694800,A2_33,0.017
,,00381.888000,A3_31,0.023
,,00381.918880,A1_76,0.01
,,00381.953200,A2_33,0.013
,,00382.128960,A2_24,0.016
,,00382.242080,A3_31,0.022
,,00382.386000,A3_31,0.016
,,00382.701680,A3_31,0.021
,,00383.066800,A2_21,0.024
,,00383.824800,A3_31,0.017
,,00383.916000,B2_23,0.019
,,00383.925280,B2_32,0.015
,,00383.926240,B2_23,0.028
,,00383.987760,B2_32,0.013
,,00384.022320,B2_32,0.015
,,00384.023280,B2_23,0.026
,,00384.079120,B2_23,0.021
,,00384.094480,B2_23,0.024
,,00384.201120,B2_23,0.023
,,00384.350080,B2_23,0.023
,,00384.376720,B2_32,0.012
,,00384.377680,B2_23,0.025
,,00384.480400,B2_32,0.013
,,00384.529040,B2_23,0.022
,,00384.587600,B2_23,0.023
,,00384.616880,B2_23,0.026
,,00384.680080,B2_23,0.022
,,00384.735040,B2_32,0.014
,,00384.886720,A2_21,0.022
,,00384.888240,B2_23,0.023
,,00385.039680,B2_23,0.019
,,00385.089200,B2_23,0.023
,,00385.199680,B2_32,0.013
,,00385.200640,B2_23,0.025
,,00385.246640,B2_23,0.02
,,00385.296160,B2_23,0.024
,,00385.329280,B2_32,0.013
,,00385.376960,B2_32,0.013
,,00385.377920,B2_23,0.028
,,00385.490800,A3_31,0.021
,,00385.501920,B2_23,0.024
,,00385.605920,B2_23,0.021
,,00385.641120,B2_23,0.023
,,00385.757760,B2_23,0.024
,,00385.815760,B2_23,0.022
,,00386.614240,A2_21,0.023
,,00386.633120,B2_32,0.017
,,00386.634240,B2_23,0.031
,,00386.654960,A3_31,0.017
,,00386.682080,B2_23,0.024
,,00386.772960,B2_32,0.015
,,00386.773920,B2_23,0.03
,,00386.812640,B2_32,0.012
,,00386.813600,B2_23,0.024
,,00386.852240,B2_23,0.019
,,00387.014960,A3_31,0.021
,,00387.194720,B2_23,0.026
,,00387.335360,B2_23,0.025
,,00387.433360,B2_23,0.027
,,00387.504800,B2_32,0.015
,,00387.505840,B2_23,0.025
,,00387.566400,B2_23,0.024
,,00387.666560,B2_23,0.022
,,00387.676320,A2_24,0.029
,,00387.681600,A2_22,0.023
,,00387.682880,A2_11,0.018
,,00387.702400,A3_31,0.019
,,00387.712640,B2_23,0.026
,,00387.726160,A2_22,0.017
,,00387.738800,A2_66,0.022
,,00387.759680,B2_23,0.021
,,00387.771840,A2_22,0.011
,,00387.777120,A2_24,0.021
,,00387.782720,A2_33,0.018
,,00387.796000,A2_33,0.016
,,00387.799440,A2_52,0.012
,,00387.807120,A2_66,0.023
,,00387.807920,A2_21,0.025
,,00387.809760,A2_33,0.014
,,00387.811760,B2_23,0.023
,,00387.816720,A2_33,0.015
,,00387.816880,A2_32,0.016
,,00387.819600,A2_33,0.011
,,00387.822800,A2_31,0.013
,,00387.825440,A2_33,0.021
,,00387.827760,A2_24,0.019
,,00387.829600,A2_21,0.025
,,00387.839200,A2_21,0.015
,,00387.847280,A2_24,0.025
,,00387.851360,A2_66,0.021
,,00387.853760,A2_24,0.02
,,00387.863040,A2_33,0.014
,,00387.870240,B2_23,0.024
,,00387.873120,A2_33,0.018
,,00387.895840,A2_33,0.014
,,00387.897760,A2_66,0.015
,,00387.898080,A2_22,0.013
,,00387.899600,A2_33,0.015
,,00387.912640,A2_33,0.014
,,00387.918080,A2_33,0.014
,,00387.921440,A2_33,0.026
,,00387.928640,A2_33,0.015
,,00387.938880,A2_46,0.017
,,00387.939200,A2_33,0.02
,,00387.940000,A2_66,0.016
,,00387.946960,A2_22,0.014
,,00387.947920,A2_33,0.014
,,00387.954960,A2_33,0.019
,,00387.960000,A2_22,0.019
,,00387.961840,A2_14,0.014
,,00387.963920,A2_24,0.016
,,00387.964320,A2_21,0.028
,,00387.968320,A2_24,0.02
,,00387.970640,B2_32,0.016
,,00387.971680,A2_33,0.016
,,00387.971680,B2_23,0.028
,,00387.972480,A2_66,0.018
,,00387.997040,A2_23,0.014
,,00387.998160,A2_66,0.014
,,00387.999760,A2_33,0.015
,,00388.010880,A2_22,0.012
,,00388.019680,A2_66,0.013
,,00388.025360,A2_21,0.026
,,00388.028400,A2_33,0.017
,,00388.040240,A2_33,0.015
,,00388.041520,A2_56,0.014
,,00388.044240,A2_33,0.013
,,00388.045440,A2_28,0.008
,,00388.055120,A2_33,0.017
,,00388.084640,A2_33,0.014
,,00388.091920,A2_33,0.017
,,00388.101440,A2_33,0.019
,,00388.103440,A2_24,0.016
,,00388.126320,A2_33,0.016
,,00388.141360,B2_32,0.014
,,00388.142480,B2_23,0.029
,,00388.183200,A3_67,0.015
,,00388.191200,A2_33,0.015
,,00388.205440,B2_32,0.015
,,00388.206480,B2_23,0.026
,,00388.210400,A3_21,0.01
,,00388.230480,A2_33,0.013
,,00388.257360,A2_24,0.019
,,00388.305200,B2_23,0.022
,,00388.305280,A2_33,0.015
,,00388.380960,A2_24,0.021
,,00388.386000,A2_66,0.018
,,00388.418720,A3_21,0.012
,,00388.421520,A2_33,0.018
,,00388.506880,A2_56,0.011
,,00388.540400,A2_33,0.02
,,00388.645840,A2_66,0.018
,,00388.666160,A2_33,0.019
,,00388.674960,A2_24,0.025
,,00388.813440,A2_33,0.016
,,00388.856800,A2_24,0.02
,,00388.940000,A2_66,0.019
,,00389.074160,A2_33,0.015
,,00389.081200,A2_33,0.014
,,00389.161920,A2_33,0.013
,,00389.261600,B2_32,0.014
,,00389.262720,B2_23,0.027
,,00389.284640,A2_24,0.019
,,00389.288640,A2_33,0.015
,,00389.320160,B2_32,0.015
,,00389.384160,A2_33,0.014
,,00389.525360,B2_32,0.016
,,00389.526400,B2_23,0.026
,,00389.595040,A2_21,0.022
,,00389.864480,A3_21,0.018
,,00390.436800,A3_31,0.011
,,00391.016480,A3_31,0.015
,,00391.440640,B3_43,0.01
,,00391.850000,A2_21,0.027
,,00391.966320,A2_21,0.015
,,00391.998160,B2_32,0.015
,,00391.999200,B2_23,0.027
,,00392.017440,B2_23,0.025
,,00392.040320,B2_32,0.013
,,00392.043040,B2_32,0.012
,,00392.072000,B2_32,0.012
,,00392.072880,B2_23,0.025
,,00392.168480,B2_23,0.025
,,00392.314800,B2_32,0.013
,,00392.421360,B2_32,0.013
,,00392.422320,B2_23,0.023
,,00392.451440,B2_23,0.024
,,00392.485520,B2_23,0.024
,,00392.602800,B2_23,0.021
,,00392.680240,B2_23,0.025
,,00392.744320,B2_23,0.021
,,00392.845120,B2_32,0.013
,,00392.846080,B2_23,0.023
,,00393.027200,A3_31,0.021
,,00393.124720,B2_23,0.025
,,00393.213840,B2_23,0.021
,,00393.233600,B2_23,0.022
,,00393.250720,B2_23,0.026
,,00393.277440,B2_32,0.019
,,00393.278960,B2_23,0.022
,,00393.315840,A2_52,0.011
,,00393.378400,B2_32,0.014
,,00393.409280,B2_32,0.011
,,00393.480240,B2_23,0.018
,,00393.486080,B2_43,0.012
,,00393.526160,A2_22,0.014
,,00393.526480,A2_11,0.022
,,00393.555760,B2_23,0.023
,,00393.563760,A2_24,0.028
,,00393.587920,A2_22,0.018
,,00393.589360,A2_11,0.021
,,00393.591920,A2_24,0.014
,,00393.598720,B2_23,0.021
,,00393.607360,A2_66,0.022
,,00393.609280,A2_46,0.019
,,00393.635120,A2_33,0.019
,,00393.638000,A2_33,0.018
,,00393.643440,A2_33,0.02
,,00393.645040,A2_32,0.014
,,00393.658240,A2_33,0.014
,,00393.658880,A2_24,0.018
,,00393.670800,A2_66,0.023
,,00393.671680,A2_33,0.022
,,00393.674880,A2_21,0.029
,,00393.679840,A2_33,0.014
,,00393.694480,A2_21,0.022
,,00393.705520,A2_21,0.025
,,00393.710480,A2_33,0.014
,,00393.710640,A2_66,0.02
,,00393.715200,A2_22,0.017
,,00393.715760,A2_24,0.02
,,00393.722560,A2_31,0.009
,,00393.727600,A2_33,0.018
,,00393.745760,A2_33,0.023
,,00393.759040,A2_33,0.016
,,00393.760960,A2_66,0.017
,,00393.762480,A2_33,0.017
,,00393.764400,A2_22,0.012
,,00393.768320,A2_22,0.013
,,00393.778080,A2_21,0.032
,,00393.778560,A2_24,0.015
,,00393.778640,A2_22,0.015
,,00393.782320,B2_23,0.025
,,00393.788240,A2_24,0.017
,,00393.790400,A2_33,0.016
,,00393.803120,A2_66,0.022
,,00393.806640,A2_66,0.012
,,00393.811200,A2_21,0.014
,,00393.816960,A2_33,0.017
,,00393.817040,A2_21,0.013
,,00393.820960,A2_66,0.017
,,00393.829760,A2_33,0.015
,,00393.835440,A2_21,0.02
,,00393.845360,A2_11,0.02
,,00393.854560,A2_33,0.015
,,00393.859840,A2_66,0.016
,,00393.867040,A2_22,0.013
,,00393.869120,A2_33,0.015
,,00393.878320,A2_28,0.011
,,00393.881360,A2_33,0.017
,,00393.881680,A2_66,0.015
,,00393.896160,A2_33,0.016
,,00393.899760,A2_33,0.016
,,00393.910800,A2_33,0.015
,,00393.913040,A2_12,0.017
,,00393.919920,A2_33,0.014
,,00393.970480,A2_33,0.017
,,00394.059520,A2_33,0.014
,,00394.079280,A3_21,0.018
,,00394.110160,A2_53,0.012
,,00394.139280,A2_33,0.021
,,00394.140080,A2_24,0.02
,,00394.160560,A3_21,0.019
,,00394.161200,A2_24,0.019
,,00394.164480,A2_66,0.024
,,00394.198080,A3_21,0.015
,,00394.241200,A2_33,0.014
,,00394.276800,A2_33,0.018
,,00394.278480,A3_67,0.018
,,00394.306400,B2_23,0.031
,,00394.316480,A2_33,0.016
,,00394.360160,A3_21,0.012
,,00394.364080,A2_33,0.016
,,00394.371760,A2_33,0.014
,,00394.386960,A2_66,0.018
,,00394.389600,B2_32,0.015
,,00394.390720,B2_23,0.028
,,00394.474960,B2_32,0.014
,,00394.556720,A2_33,0.015
,,00394.560960,A2_33,0.017
,,00394.597280,A2_66,0.019
,,00394.602000,A2_46,0.016
,,00394.602960,B2_23,0.026
,,00394.613200,A2_33,0.012
,,00394.651040,A2_33,0.018
,,00394.653280,A2_22,0.014
,,00394.678880,B2_32,0.015
,,00394.697440,A2_24,0.019
,,00394.731920,B2_32,0.013
,,00394.769680,A2_33,0.016
,,00394.799440,A2_24,0.016
,,00394.813680,B2_23,0.022
,,00394.833680,A2_33,0.014
,,00394.864560,A2_33,0.014
,,00394.903440,A2_33,0.015
,,00394.930720,B2_23,0.023
,,00394.992640,A2_33,0.014
,,00395.029440,B2_23,0.023
,,00395.205760,B2_23,0.029
,,00395.278960,B2_32,0.013
,,00395.280000,B2_23,0.024
,,00395.292800,A2_21,0.021
,,00395.316800,A3_21,0.018
,,00395.323200,B2_32,0.014
,,00395.324240,B2_23,0.022
,,00395.438720,B2_32,0.015
,,00395.439840,B2_23,0.028
,,00395.756960,B2_32,0.01
,,00397.007680,A3_31,0.02
,,00397.067920,A2_22,0.014
,,00397.146720,A2_24,0.03
,,00397.150240,A2_22,0.014
,,00397.150560,A2_11,0.021
,,00397.191360,A2_66,0.022
,,00397.204880,A2_46,0.018
,,00397.205920,A2_21,0.024
,,00397.224960,A2_46,0.016
,,00397.265280,A2_24,0.017
,,00397.300240,A2_21,0.027
,,00397.313360,A2_24,0.02
,,00397.315360,A2_33,0.015
,,00397.316800,A2_28,0.011
,,00397.319440,A2_66,0.021
,,00397.342240,A2_21,0.026
,,00397.354400,A2_21,0.013
,,00397.379840,A2_33,0.019
,,00397.381120,A2_24,0.026
,,00397.397120,A2_33,0.016
,,00397.409680,A2_66,0.026
,,00397.423200,A2_33,0.02
,,00397.430480,A2_24,0.018
,,00397.446160,A2_24,0.019
,,00397.447760,A2_33,0.015
,,00397.459680,A2_22,0.014
,,00397.460160,A2_21,0.02
,,00397.507440,A2_66,0.021
,,00397.556000,A2_33,0.012
,,00397.595760,A2_66,0.019
,,00397.598320,A2_33,0.018
,,00397.598640,A2_24,0.019
,,00397.620480,A2_21,0.017
,,00397.635120,A2_21,0.013
,,00397.658640,A2_66,0.022
,,00397.662000,A2_33,0.015
,,00397.688800,A2_21,0.017
,,00397.691440,A2_53,0.011
,,00397.718560,A2_21,0.016
,,00397.741440,A2_24,0.02
,,00397.776800,A2_66,0.017
,,00397.841840,A2_24,0.019
,,00397.862400,A2_33,0.013
,,00398.078480,A2_33,0.014
,,00398.080960,A2_24,0.02
,,00398.141920,A2_33,0.015
,,00398.584080,A2_24,0.019
,,00398.603360,A2_24,0.018
,,00398.931440,A3_31,0.022
,,00400.294880,A2_21,0.019
,,00400.873760,A3_31,0.016
,,00402.246320,A3_31,0.017
,,00402.495360,A2_21,0.025
,,00402.505840,A3_31,0.013
,,00402.620400,A2_21,0.019
,,00402.719280,A2_21,0.017
,,00403.868720,A2_22,0.019
,,00403.881600,A2_24,0.026
,,00403.892960,A2_24,0.017
,,00403.925200,A2_11,0.023
,,00403.926080,A2_22,0.015
,,00403.933360,A2_46,0.019
,,00403.937600,A2_66,0.026
,,00403.951120,A2_46,0.013
,,00403.959600,A2_11,0.021
,,00403.976560,A2_33,0.015
,,00403.980480,A2_33,0.016
,,00404.000880,A2_33,0.019
,,00404.002160,A2_21,0.022
,,00404.006080,A2_66,0.022
,,00404.011200,A2_24,0.019
,,00404.020640,A2_46,0.015
,,00404.028720,A2_21,0.022
,,00404.047440,A2_66,0.025
,,00404.053920,A2_43,0.014
,,00404.059360,A2_11,0.021
,,00404.076000,A2_33,0.012
,,00404.085520,A2_32,0.016
,,00404.088000,A2_12,0.017
,,00404.095600,A2_24,0.022
,,00404.097200,A2_66,0.023
,,00404.101280,A2_32,0.016
,,00404.106160,A2_33,0.017
,,00404.110640,A2_21,0.016
,,00404.119120,A2_12,0.017
,,00404.119760,A2_33,0.018
,,00404.124000,A2_56,0.013
,,00404.127120,A2_33,0.017
,,00404.127520,A2_32,0.016
,,00404.133680,A2_22,0.015
,,00404.137360,A2_33,0.012
,,00404.143760,A2_66,0.02
,,00404.152800,A2_21,0.024
,,00404.153520,A2_33,0.024
,,00404.168000,A2_66,0.021
,,00404.170240,A2_33,0.018
,,00404.172880,A2_32,0.018
,,00404.186320,A2_33,0.019
,,00404.190560,A2_66,0.011
,,00404.190800,A2_33,0.015
,,00404.198240,A2_33,0.012
,,00404.202160,A2_33,0.016
,,00404.212880,A2_33,0.015
,,00404.216400,A2_33,0.014
,,00404.222800,A2_33,0.021
,,00404.231440,A2_33,0.015
,,00404.251040,A2_33,0.017
,,00404.272720,A2_24,0.027
,,00404.296800,A2_33,0.018
,,00404.316800,A2_33,0.013
,,00404.343680,A2_33,0.015
,,00404.450160,A2_33,0.016
,,00404.455200,A2_33,0.021
,,00404.481200,A2_24,0.02
,,00404.497600,A2_33,0.015
,,00404.542160,A2_66,0.015
,,00404.554640,A2_33,0.015
,,00404.561440,A2_33,0.015
,,00404.598720,A2_33,0.016
,,00404.732880,A2_24,0.019
,,00404.747040,A2_66,0.019
,,00404.783040,A2_24,0.018
,,00404.794880,A2_33,0.015
,,00404.824720,A2_52,0.012
,,00404.843440,A2_33,0.012
,,00404.857600,A2_33,0.017
,,00405.038160,A2_33,0.016
,,00405.038960,A2_46,0.017
,,00405.049120,A2_24,0.017
,,00405.134560,A2_33,0.015
,,00405.202000,A3_31,0.023
,,00405.207120,A2_33,0.014
,,00405.365920,A2_24,0.019
,,00405.412800,A2_33,0.016
,,00405.495280,A2_33,0.014
,,00405.800000,A3_31,0.018
,,00406.145120,A2_21,0.026
,,00406.189600,B2_43,0.01
,,00406.193040,B2_32,0.016
,,00406.194080,B2_23,0.025
,,00406.209760,B2_32,0.013
,,00406.210720,B2_23,0.027
,,00406.222560,B2_23,0.021
,,00406.229440,B2_43,0.01
,,00406.230800,B2_23,0.025
,,00406.329280,B2_43,0.012
,,00406.456160,B2_23,0.025
,,00406.500400,B2_23,0.021
,,00406.712560,B2_23,0.025
,,00406.891520,A3_31,0.019
,,00407.096400,B2_32,0.013
,,00407.097440,B2_23,0.024
,,00407.400720,A2_46,0.017
,,00408.147440,B2_32,0.013
,,00408.148480,B2_23,0.03
,,00408.157760,B2_32,0.011
,,00408.163760,B2_32,0.014
,,00408.164720,B2_23,0.024
,,00408.174720,B2_32,0.012
,,00408.179040,A2_22,0.019
,,00408.188240,B2_23,0.027
,,00408.195360,B2_43,0.011
,,00408.198960,B2_23,0.025
,,00408.212480,B2_23,0.021
,,00408.219440,A2_24,0.018
,,00408.243040,B2_23,0.026
,,00408.250480,A2_24,0.018
,,00408.261360,B2_23,0.023
,,00408.263760,A2_66,0.024
,,00408.270480,A2_33,0.012
,,00408.290640,A2_22,0.012
,,00408.302560,A2_46,0.017
,,00408.304240,A2_24,0.021
,,00408.308720,A2_33,0.015
,,00408.313840,B2_23,0.022
,,00408.333920,A2_13,0.016
,,00408.343840,A2_33,0.017
,,00408.344640,A2_14,0.012
,,00408.352720,A2_66,0.023
,,00408.353920,A2_21,0.029
,,00408.356000,A2_33,0.014
,,00408.357600,B2_32,0.012
,,00408.373120,B2_43,0.011
,,00408.374480,A2_22,0.011
,,00408.376320,A2_33,0.016
,,00408.382160,A2_21,0.024
,,00408.393920,A2_21,0.023
,,00408.395440,A2_22,0.016
,,00408.409440,A2_22,0.013
,,00408.409840,A2_66,0.022
,,00408.429120,A2_33,0.017
,,00408.431840,A2_24,0.024
,,00408.432240,A2_33,0.015
,,00408.435520,B2_23,0.028
,,00408.439440,A2_24,0.022
,,00408.449200,A2_21,0.024
,,00408.464000,A2_33,0.016
,,00408.478560,A2_66,0.022
,,00408.489200,A2_33,0.014
,,00408.518880,A2_22,0.014
,,00408.523360,A2_33,0.015
,,00408.526800,A2_33,0.013
,,00408.531200,A2_22,0.015
,,00408.531360,A2_33,0.016
,,00408.539840,A2_21,0.022
,,00408.540640,A2_66,0.014
,,00408.563200,A2_66,0.013
,,00408.566480,A2_11,0.017
,,00408.570080,A2_56,0.017
,,00408.570400,A2_66,0.011
,,00408.576320,B2_32,0.012
,,00408.599040,A2_33,0.017
,,00408.599120,B2_32,0.012
,,00408.603680,A2_66,0.023
,,00408.609360,A2_31,0.011
,,00408.610880,A3_31,0.022
,,00408.622960,A2_33,0.011
,,00408.649040,A2_33,0.014
,,00408.650400,A2_66,0.012
,,00408.711840,A2_33,0.014
,,00408.725680,B2_32,0.012
,,00408.726640,B2_23,0.024
,,00408.762960,A2_24,0.016
,,00408.801680,B2_43,0.01
,,00408.837920,A2_33,0.013
,,00408.848240,B2_23,0.027
,,00408.891360,A2_66,0.015
,,00408.894160,B2_23,0.024
,,00408.898960,A2_33,0.017
,,00408.932000,B2_32,0.018
,,00408.933040,B2_23,0.019
,,00408.976160,B2_23,0.025
,,00408.981120,A2_33,0.016
,,00409.014000,A2_24,0.016
,,00409.020800,B2_23,0.026
,,00409.024480,A2_52,0.013
,,00409.069840,B2_23,0.019
,,00409.131040,A2_66,0.014
,,00409.131200,A2_24,0.018
,,00409.147600,B2_32,0.012
,,00409.148560,B2_23,0.024
,,00409.206240,A2_33,0.017
,,00409.242640,A2_33,0.013
,,00409.263920,B2_32,0.014
,,00409.264960,B2_23,0.03
,,00409.316320,B2_23,0.028
,,00409.365760,A2_24,0.017
,,00409.385600,B2_23,0.026
,,00409.391120,A2_46,0.017
,,00409.502400,B2_23,0.028
,,00409.537120,B2_32,0.012
,,00409.554320,A1_36,0.019
,,00409.570000,A2_33,0.015
,,00409.640800,B2_32,0.012
,,00409.641760,B2_23,0.02
,,00409.674320,A3_31,0.019
,,00409.736800,B2_23,0.029
,,00409.802000,B2_23,0.024
,,00410.125680,B2_23,0.027
,,00410.191120,B2_32,0.014
,,00410.192240,B2_23,0.028
,,00410.220320,A3_31,0.012
,,00410.454320,A2_21,0.021
,,00411.213440,A3_21,0.018
,,00411.218400,A3_67,0.015
,,00411.256720,A3_41,0.01
,,00411.312240,A3_21,0.012
,,00411.315040,A3_72,0.017
,,00411.334880,A3_21,0.017
,,00411.572560,A3_21,0.015
,,00411.790480,A3_21,0.016
,,00411.986000,A3_21,0.015
,,00412.238960,B2_32,0.016
,,00412.246400,B2_31,0.013
,,00412.250080,B2_23,0.025
,,00412.262880,B2_23,0.023
,,00412.263920,A2_21,0.02
,,00412.272320,B2_32,0.015
,,00412.302560,B2_23,0.028
,,00412.318640,B2_32,0.012
,,00412.319520,B2_23,0.028
,,00412.337440,B2_23,0.021
,,00412.354640,B2_32,0.014
,,00412.378400,B2_23,0.019
,,00412.424640,B2_32,0.013
,,00412.425600,B2_23,0.023
,,00412.430080,A3_72,0.014
,,00412.452720,B2_32,0.012
,,00412.453680,B2_23,0.018
,,00412.481440,B2_23,0.021
,,00412.492560,A3_26,0.015
,,00412.505520,A3_31,0.013
,,00412.512800,B2_23,0.027
,,00412.547200,B2_23,0.026
,,00412.552720,A3_41,0.012
,,00412.627280,B2_23,0.024
,,00412.680800,B2_32,0.015
,,00412.785360,B2_23,0.023
,,00412.864160,B2_32,0.016
,,00412.902880,A3_21,0.016
,,00412.921360,B2_32,0.012
,,00413.093360,B2_32,0.015
,,00413.165520,B2_23,0.022
,,00413.394640,B2_23,0.027
,,00413.477520,B2_32,0.013
,,00413.478560,B2_23,0.023
,,00413.558080,B2_23,0.022
,,00413.558960,B2_43,0.013
,,00413.595680,B2_23,0.023
,,00413.681120,B2_23,0.022
,,00413.695680,A2_24,0.028
,,00413.700880,A2_22,0.014
,,00413.705040,A2_24,0.018
,,00413.724800,A2_66,0.02
,,00413.762800,A2_33,0.016
,,00413.771280,B2_23,0.023
,,00413.777360,A2_24,0.018
,,00413.779680,A2_22,0.013
,,00413.785040,A2_33,0.017
,,00413.794080,A2_33,0.014
,,00413.794960,A2_66,0.024
,,00413.797200,A2_21,0.024
,,00413.806480,A2_33,0.018
,,00413.809760,A2_56,0.015
,,00413.816480,A2_33,0.018
,,00413.818160,A2_21,0.014
,,00413.819680,A2_33,0.015
,,00413.829200,A2_22,0.015
,,00413.835840,A2_33,0.016
,,00413.837840,A2_66,0.02
,,00413.846400,A2_33,0.02
,,00413.855440,A2_33,0.021
,,00413.872080,A2_33,0.015
,,00413.886080,A2_22,0.016
,,00413.886720,A2_33,0.014
,,00413.892400,A2_66,0.015
,,00413.905760,A2_33,0.013
,,00413.913600,A2_24,0.022
,,00413.915840,A2_21,0.027
,,00413.935600,A2_66,0.013
,,00413.946160,A2_12,0.018
,,00413.953600,A2_22,0.014
,,00413.956560,A2_33,0.016
,,00413.963840,A2_33,0.015
,,00413.965520,A2_66,0.019
,,00413.970160,A2_21,0.016
,,00413.987520,A2_66,0.019
,,00413.992080,A2_21,0.019
,,00413.992640,A2_33,0.023
,,00414.015600,A2_33,0.014
,,00414.031120,A2_66,0.011
,,00414.070720,A2_46,0.015
,,00414.096640,A2_33,0.016
,,00414.152080,A2_33,0.014
,,00414.161600,A2_24,0.018
,,00414.214640,B2_32,0.014
,,00414.215840,B2_23,0.027
,,00414.225760,A2_33,0.017
,,00414.272560,A2_66,0.019
,,00414.273760,A2_33,0.016
,,00414.315120,A2_33,0.025
,,00414.342720,A2_56,0.012
,,00414.354800,B2_23,0.023
,,00414.355920,A2_33,0.013
,,00414.362880,A2_31,0.01
,,00414.413680,A2_22,0.013
,,00414.416880,A2_28,0.008
,,00414.417600,A2_24,0.02
,,00414.420320,A2_24,0.019
,,00414.429680,A2_24,0.018
,,00414.493120,A2_66,0.019
,,00414.512480,A2_33,0.015
,,00414.668400,B2_32,0.017
,,00414.669600,B2_23,0.029
,,00414.694720,A2_33,0.012
,,00414.803040,A2_33,0.016
,,00414.841440,A2_24,0.017
,,00415.555760,A3_21,0.017
,,00416.129360,A2_21,0.026
,,00416.299440,A2_21,0.02
,,00417.005440,A3_31,0.022
,,00417.335040,A3_31,0.017
,,00417.570400,A2_21,0.023
,,00417.578560,A2_22,0.021
,,00417.579680,A2_11,0.02
,,00417.585520,A2_24,0.025
,,00417.596480,A2_24,0.018
,,00417.612720,A2_66,0.024
,,00417.614880,A3_31,0.019
,,00417.637760,A2_46,0.016
,,00417.660160,A2_33,0.015
,,00417.663920,A2_24,0.024
